year,geo_name,geo,mean_commute_minutes
2015,"Columbia County","05000US41009",30.8234
2015,"Dallas County","05000US29059",30.823
2013,"Sherburne County","05000US27141",30.8204
2013,"Matanuska-Susitna Borough","05000US02170",30.82
2013,"St. Tammany Parish, LA","05000US22103",30.8104
2014,"Sherburne County","05000US27141",30.807
2013,"Rains County","05000US48379",30.7973
2014,"Lewis County","05000US21135",30.7956
2015,"Bollinger County","05000US29017",30.7948
2013,"Jackson County","05000US47087",30.7937
2014,"Crawford County","05000US18025",30.7888
2015,"Perry County","05000US42099",30.7836
2015,"Macon County","05000US47111",30.7781
