year,geo_name,geo,median_property_value,median_property_value_moe
2015,"Kendall County","05000US48259",281200.0,15937.0
2014,"King George County","05000US51099",280900.0,12697.0
2014,"Los Alamos County","05000US35028",280700.0,10000.0
2014,"Mercer County, NJ","05000US34021",280400.0,3655.0
2014,"Mineral County","05000US08079",280200.0,26183.0
2014,"Rockingham County, NH","05000US33015",279800.0,2694.0
2014,"DuPage County, IL","05000US17043",279700.0,1766.0
2013,"Archuleta County","05000US08007",279700.0,18396.0
2015,"Jefferson County, CO","05000US08059",279500.0,1665.0
2015,"Humboldt County, CA","05000US06023",279300.0,4539.0
2014,"Harford County, MD","05000US24025",279300.0,2873.0
2014,"Washington County, OR","05000US41067",279100.0,2066.0
2015,"Solano County, CA","05000US06095",279100.0,2749.0
2013,"King George County","05000US51099",278900.0,13329.0
2015,"DuPage County, IL","05000US17043",278500.0,1869.0
2015,"Harford County, MD","05000US24025",278500.0,3202.0
2013,"Santa Fe County, NM","05000US35049",278400.0,4499.0
2015,"Multnomah County, OR","05000US41051",278300.0,2299.0
2013,"Bristol County, MA","05000US25005",278100.0,2111.0
2014,"Sussex County, NJ","05000US34037",277600.0,2911.0
2015,"Mineral County","05000US08079",277100.0,26844.0
2013,"Whatcom County, WA","05000US53073",277000.0,4504.0
2013,"Orange County, NY","05000US36071",276900.0,2434.0
2015,"Manassas city","05000US51683",276700.0,10104.0
2015,"Mercer County, NJ","05000US34021",276500.0,3502.0
2015,"Hinsdale County","05000US08053",276000.0,27976.0
2013,"Broomfield County","05000US08014",275900.0,6119.0
2015,"Dutchess County, NY","05000US36027",275600.0,2460.0
2015,"Sublette County","05000US56035",275600.0,21499.0
2013,"Beaufort County, SC","05000US45013",275500.0,8647.0
2014,"Bristol County, MA","05000US25005",275400.0,1974.0
2015,"Santa Fe County, NM","05000US35049",275200.0,5006.0
2013,"Mineral County","05000US08079",275000.0,29783.0
2015,"Beaufort County, SC","05000US45013",274700.0,6914.0
2015,"Whatcom County, WA","05000US53073",274700.0,3585.0
2013,"Kendall County","05000US48259",274400.0,18156.0
2015,"Los Alamos County","05000US35028",274200.0,11708.0
2015,"Chaffee County","05000US08015",274200.0,13252.0
2014,"Clear Creek County","05000US08019",273400.0,15626.0
2015,"Bristol County, MA","05000US25005",273100.0,1841.0
2014,"Whatcom County, WA","05000US53073",273000.0,4079.0
2014,"Beaufort County, SC","05000US45013",272900.0,7080.0
2015,"Collier County, FL","05000US12021",272800.0,5482.0
2014,"Orange County, NC","05000US37135",272700.0,7367.0
2014,"Santa Fe County, NM","05000US35049",272700.0,5514.0
2013,"Orange County, NC","05000US37135",272600.0,7966.0
2015,"Orange County, NC","05000US37135",272600.0,6336.0
2015,"Douglas County","05000US32005",272000.0,9080.0
2013,"Multnomah County, OR","05000US41051",271600.0,2362.0
2015,"Gallatin County","05000US30031",271500.0,5533.0
2013,"Douglas County","05000US32005",271400.0,11839.0
2015,"Denver County, CO","05000US08031",271300.0,3336.0
2015,"Chittenden County, VT","05000US50007",271300.0,3129.0
2013,"Warren County, NJ","05000US34041",271100.0,4287.0
2015,"Sussex County, NJ","05000US34037",270600.0,2933.0
2013,"Benton County","05000US41003",270500.0,5015.0
2013,"Amador County","05000US06005",270500.0,13674.0
2014,"Multnomah County, OR","05000US41051",270200.0,2190.0
2013,"Prince George's County, MD","05000US24033",269800.0,1657.0
2015,"Benton County","05000US41003",269700.0,6344.0
2013,"Powhatan County","05000US51145",269700.0,8784.0
