year,geo_name,geo,hiv_prevalence_rate
2017,"Teton County","05000US30099",None
2017,"Sweet Grass County","05000US30097",None
2016,"Sweet Grass County","05000US30097",None
2015,"Sweet Grass County","05000US30097",None
2017,"Stillwater County","05000US30095",None
2015,"Stillwater County","05000US30095",None
2016,"Stillwater County","05000US30095",None
2017,"Sheridan County","05000US30091",None
2015,"Sheridan County","05000US30091",None
2016,"Sheridan County","05000US30091",None
2016,"Sanders County","05000US30089",None
